,Case No.,Claimant(s),Respondent(s),Status,Link
0,ARB(AF)/20/2,José Alejandro Hernández Contreras,Republic of Costa Rica,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/20/2
1,ARB/20/30,Donatas Aleksandravicius,Kingdom of Denmark,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/30
2,ARB/20/29,"Human Rights Defenders Inc., as assignee of Mr. Natale Palazzo, Mr. Rodolfo Scodeller and Mr. Antonio Basile",Swiss Confederation,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/29
3,ARB/20/28,Bob Meijer,Georgia,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/28
4,ARB/20/27,Barrick (PD) Australia Pty Limited,Independent State of Papua New Guinea,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/27
5,ARB/20/26,Fengzhen Min,Republic of Korea,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/26
6,ARB/20/25,Winshear Gold Corp.,United Republic of Tanzania,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/25
7,ARB/20/24,Teyliom International and others,Republic of Benin,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/24
8,CONC/20/1,Barrick (Niugini) Limited,Independent State of Papua New Guinea,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=CONC/20/1
9,ARB/20/23,Coöperatieve Rabobank U.A.,United Mexican States,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/23
10,UNCT/20/2,Carlos Sastre and others,United Mexican States,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=UNCT/20/2
11,ARB/20/22,"Macro Trading Co., Ltd.",People's Republic of China,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/22
12,ARB/20/21,AHG Industry GmbH & Co. KG,Republic of Iraq,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/21
13,ARB/20/20,Zaur Leshkasheli and Rosserlane Consultants Limited,Republic of Azerbaijan,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/20
14,ARB/20/19,"Campos de Pesé, S.A.",Republic of Panama,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/19
15,ARB/20/18,Desarrollo Vial de los Andes S.A.C. ,Republic of Peru,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/18
16,UNCT/20/1,"Odyssey Marine Exploration, Inc.",United Mexican States,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=UNCT/20/1
17,ARB/20/17,Kansanshi Mining Plc,Republic of Zambia,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/17
18,ARB/20/16,AFC Investment Solutions S.L. ,Republic of Colombia,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/16
19,ARB/20/15,EP Wind Project (Rom) Six Ltd.,Romania,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/15
20,ARB/20/14,SMM Cerro Verde Netherlands B.V.,Republic of Peru,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/14
21,UNCT/20/3,"Westmoreland Mining Holdings, LLC",Canada,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=UNCT/20/3
22,ARB/20/13,"Espiritu Santo Holdings, LP",United Mexican States,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/13
23,ARB/20/12,BRIF TRES d.o.o. Beograd and BRIF-TC d.o.o. Beograd,Republic of Serbia,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/12
24,ARB(AF)20/1,EnviroGold (Las Lagunas) Limited,Dominican Republic,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)20/1
25,ARB/20/11,Peteris Pildegovics and SIA North Star,Kingdom of Norway,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/11
26,ARB/20/10,Webuild S.p.A. (formerly Salini Impregilo S.p.A.),Republic of Panama,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/10
27,ARB/20/9,South32 SA Investments Limited,Republic of Colombia,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/9
28,ARB/20/8,Freeport-McMoRan Inc.,Republic of Peru,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/8
29,ARB/20/7,"Neustar, Inc.",Republic of Colombia,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/7
30,ARB/20/6,Adria Group B.V. and Adria Group Holding B.V.,Republic of Croatia,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/6
31,ARB/20/5,"Telcell Wireless, LLC and International Telcell Cellular, LLC",Georgia,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/5
32,ARB/20/4,Odebrecht Latinvest S.à.r.l.,Republic of Peru,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/4
33,ARB/20/3,Hamburg Commercial Bank AG,Italian Republic,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/3
34,ARB/20/2,Hope Services LLC,Republic of Cameroon,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/2
35,ARB/20/1,United Agencies Limited SA,People’s Democratic Republic of Algeria,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/1
36,ARB/19/35,Marko Mihaljevic,Republic of Croatia,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/35
37,ARB/19/34,"Amec Foster Wheeler USA Corporation, Process Consultants, Inc., and Joint Venture Foster Wheeler USA Corporation and Process Consultants, Inc. ",Republic of Colombia,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/34
38,ARB/19/33,Société Générale S.A.,Republic of Croatia,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/33
39,ARB/19/32,DSG Yapi Sanayi Ticaret Anonim Sirketi,Kingdom of Saudi Arabia,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/32
40,ARB/19/31,Gerald International Limited,Republic of Sierra Leone,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/31
41,ARB(AF)/19/3,"The Williams Companies International Holdings B.V., WilPro Energy Services (El Furrial) Limited and WilPro Energy Services (Pigap II) Limited",Bolivarian Republic of Venezuela,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/19/3
42,ARB/19/30,VM Solar Jerez GmbH and others,Kingdom of Spain,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/30
43,ARB/19/29,"Strabag SE, Erste Nordsee-Offshore Holding GmbH and Zweite Nordsee-Offshore Holding GmbH",Federal Republic of Germany,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/29
44,ARB/19/28,Latam Hydro LLC and CH Mamacocha S.R.L.,Republic of Peru,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/28
45,ARB/19/27,CTIP Oil & Gas International Limited,Arab Republic of Egypt,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/27
46,ARB/19/26,Terence Highlands,United Mexican States,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/26
47,ARB/19/25,Orazul International España Holdings S.L.,Argentine Republic,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/25
48,ARB/19/24,AAN Digital Services Holding Company (KSC),Democratic Republic of the Congo,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/24
49,ARB/19/23,"Sapec, S.A.",Kingdom of Spain,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/23
50,ARB(AF)/19/2,Gustavo Maeso Lando,Bolivarian Republic of Venezuela,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/19/2
51,ARB/19/22,"Glencore International A.G., C. I. Prodeco S.A., and Sociedad Portuaria Puerto Nuevo S.A.",Republic of Colombia,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/22
52,ARB/19/21,Petrochemical Holding GmbH,Romania,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/21
53,ARB/19/20,Ayat Nizar Raja Sumrain and others,State of Kuwait,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/20
54,ARB/19/19,IC Power Ltd and Kenon Holdings Ltd,Republic of Peru,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/19
55,ARB/19/18,Niko Exploration (Block 9) Ltd.,People’s Republic of Bangladesh and Bangladesh Oil Gas and Mineral Corporation,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/18
56,ARB/19/17,"Richard N. Westbury, Paul D. Hinks and Symbion Power Tanzania Limited",United Republic of Tanzania,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/17
57,CONC/19/1,La Camerounaise des Eaux (CDE) ,Republic of Cameroon and Cameroon Water Utilities Cooperation (CAMWATER),Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=CONC/19/1
58,ARB/19/16,Latin American Regional Aviation Holding S. de R.L.,Oriental Republic of Uruguay,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/16
59,ARB/19/15,Axiata Investments (UK) Limited and Ncell Private Limited,Federal Democratic Republic of Nepal,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/15
60,ARB/19/14,Impresa Pizzarotti & C. S.p.A.,Kingdom of Morocco,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/14
61,ARB/19/13,Alejandro Diego Díaz Gaspar,Republic of Costa Rica,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/13
62,ARB/19/12,Kornikom EOOD,Republic of Serbia,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/12
63,ARB/19/11,Nationale-Nederlanden Holdinvest B.V. and others,Argentine Republic,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/11
64,ARB/19/10,Shokat Mohammed Dalal,United Arab Emirates,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/10
65,ARB/19/9,Artem Skubenko and others,Republic of North Macedonia,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/9
66,ARB/19/8,Ayoub-Farid Michel Saab,United Republic of Tanzania,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/8
67,ARB/19/7,Petroceltic Holdings Limited and Petroceltic Resources Limited,Arab Republic of Egypt,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/19/7
